YEAR,Start_Year,Home_Value,Source
2016,0,738370,Zillow
2017,1,785148,Zillow
2018,2,856348,Zillow
2019,3,882954,Zillow
2020,4,922495,Zillow
2021,5,1045357,Zillow
2022,6,1321736,Zillow
2023,7,1240650,Zillow
2024,8,1355663,Zillow
