sep=,
"1"
"6"
"11"
"16"
"21"
"26"
"31"
"36"
"51"
"3"
"8"
"13"
"18"
"23"
"33"
"4"
"9"
"14"
"24"
"34"
"4"
"14"
"24"
"3"
"13"
"23"
"0"
"10"
"20"
"13"
"23"
"11"
"13"
"11"
"12"
"11"
"13"
"14"
"14"
"13"
